"CAL_MONTH_KEY","INDEX_NAME","AVG_ADJ_CLOSE","FED_FUNDS","FED_FUNDS_LAG1","FED_FUNDS_CHG","FED_FUNDS_PCT_CHG","FED_FUNDS_PCT_CHG_SMA","INFLATION","INFLATION_LAG1","INFLATION_CHG","INFLATION_PCT_CHG","INFLATION_PCT_CHG_SMA","UNEMPLOYMENT","UNEMPLOYMENT_LAG1","UNEMPLOYMENT_CHG","UNEMPLOYMENT_PCT_CHG","UNEMPLOYMENT_PCT_CHG_SMA"
201208,"S&P 500",1403.45,0.13,0.16,-0.03,-0.19,-0.06,1.79,1.85,-0.06,-0.03,-0.02,8,8.2,-0.2,-0.02,-0.01
201209,"S&P 500",1443.42,0.14,0.13,0.01,0.08,-0.04,1.8,1.79,0.01,0.01,-0.02,7.8,8,-0.2,-0.03,-0.02
201210,"S&P 500",1437.82,0.16,0.14,0.02,0.14,0.01,1.78,1.8,-0.02,-0.01,-0.01,7.8,7.8,0,0,-0.02
201211,"S&P 500",1394.51,0.16,0.16,0,0,0.07,1.7,1.78,-0.08,-0.04,-0.02,7.7,7.8,-0.1,-0.01,-0.01
201212,"S&P 500",1422.29,0.16,0.16,0,0,0.05,1.62,1.7,-0.08,-0.05,-0.03,7.9,7.7,0.2,0.03,0
201301,"S&P 500",1480.4,0.14,0.16,-0.02,-0.13,-0.04,1.58,1.62,-0.04,-0.02,-0.04,8,7.9,0.1,0.01,0.01
201302,"S&P 500",1512.31,0.15,0.14,0.01,0.07,-0.02,1.62,1.58,0.04,0.03,-0.02,7.7,8,-0.3,-0.04,0
201303,"S&P 500",1550.83,0.14,0.15,-0.01,-0.07,-0.04,1.57,1.62,-0.05,-0.03,-0.01,7.5,7.7,-0.2,-0.03,-0.02
201304,"S&P 500",1570.7,0.15,0.14,0.01,0.07,0.03,1.43,1.57,-0.14,-0.09,-0.03,7.6,7.5,0.1,0.01,-0.02
201305,"S&P 500",1639.84,0.11,0.15,-0.04,-0.27,-0.09,1.4,1.43,-0.03,-0.02,-0.05,7.5,7.6,-0.1,-0.01,-0.01
201306,"S&P 500",1618.77,0.09,0.11,-0.02,-0.18,-0.13,1.5,1.4,0.1,0.07,-0.01,7.5,7.5,0,0,0
201307,"S&P 500",1668.68,0.09,0.09,0,0,-0.15,1.55,1.5,0.05,0.03,0.03,7.3,7.5,-0.2,-0.03,-0.01
201308,"S&P 500",1670.09,0.08,0.09,-0.01,-0.11,-0.1,1.54,1.55,-0.01,-0.01,0.03,7.2,7.3,-0.1,-0.01,-0.01
201309,"S&P 500",1687.17,0.08,0.08,0,0,-0.04,1.52,1.54,-0.02,-0.01,0,7.2,7.2,0,0,-0.01
201310,"S&P 500",1720.03,0.09,0.08,0.01,0.13,0,1.53,1.52,0.01,0.01,0,7.2,7.2,0,0,0
201311,"S&P 500",1783.54,0.08,0.09,-0.01,-0.11,0,1.61,1.53,0.08,0.05,0.02,7,7.2,-0.2,-0.03,-0.01
201312,"S&P 500",1807.78,0.09,0.08,0.01,0.13,0.05,1.66,1.61,0.05,0.03,0.03,6.7,7,-0.3,-0.04,-0.02
201401,"S&P 500",1822.36,0.07,0.09,-0.02,-0.22,-0.07,1.62,1.66,-0.04,-0.02,0.02,6.6,6.7,-0.1,-0.01,-0.03
201402,"S&P 500",1817.03,0.07,0.07,0,0,-0.03,1.57,1.62,-0.05,-0.03,-0.01,6.7,6.6,0.1,0.02,-0.01
201403,"S&P 500",1863.52,0.08,0.07,0.01,0.14,-0.03,1.6,1.57,0.03,0.02,-0.01,6.6,6.7,-0.1,-0.01,0
201404,"S&P 500",1864.26,0.09,0.08,0.01,0.13,0.09,1.75,1.6,0.15,0.09,0.03,6.2,6.6,-0.4,-0.06,-0.02
201405,"S&P 500",1889.77,0.09,0.09,0,0,0.09,1.8,1.75,0.05,0.03,0.05,6.3,6.2,0.1,0.02,-0.02
201406,"S&P 500",1947.09,0.1,0.09,0.01,0.11,0.08,1.76,1.8,-0.04,-0.02,0.03,6.1,6.3,-0.2,-0.03,-0.03
201407,"S&P 500",1973.1,0.09,0.1,-0.01,-0.1,0,1.78,1.76,0.02,0.01,0.01,6.2,6.1,0.1,0.02,0
201408,"S&P 500",1961.53,0.09,0.09,0,0,0,1.73,1.78,-0.05,-0.03,-0.01,6.1,6.2,-0.1,-0.02,-0.01
201409,"S&P 500",1993.23,0.09,0.09,0,0,-0.03,1.74,1.73,0.01,0.01,0,5.9,6.1,-0.2,-0.03,-0.01
201410,"S&P 500",1937.27,0.09,0.09,0,0,0,1.71,1.74,-0.03,-0.02,-0.01,5.7,5.9,-0.2,-0.03,-0.03
